DATAFLOW,LAST UPDATE,freq,unit,sex,sizeclas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RS,2014,24.41,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RS,2018,18.12,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RS,2022,23.36,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SE,2006,2.17,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SE,2010,3.12,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SE,2014,3.21,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SE,2018,4.42,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SE,2022,5.01,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SI,2006,23.49,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SI,2010,19.29,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SI,2014,21.46,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SI,2018,19.41,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SI,2022,10.54,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SK,2006,24.92,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SK,2010,23.66,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SK,2014,23.36,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SK,2018,19.18,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,SK,2022,15.96,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,TR,2006,0.26,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,TR,2010,0.49,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,TR,2014,0.56,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,TR,2018,0.78,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,UK,2006,28.47,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,UK,2010,27.56,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,UK,2014,26.92,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,UK,2018,21.46,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AL,2018,22.63,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AL,2022,17.6,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AT,2006,6.84,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AT,2010,8.19,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AT,2014,8.74,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AT,2018,9.3,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,AT,2022,9.01,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BA,2022,15.85,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BE,2006,4.65,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BE,2010,3.31,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BE,2014,3.37,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BE,2018,11.01,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BE,2022,15.8,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BG,2006,18.31,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BG,2010,22.46,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BG,2014,19.18,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BG,2018,23.57,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,BG,2022,30.01,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CH,2010,6.14,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CH,2014,5.68,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CH,2018,6.02,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CH,2022,6.53,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CY,2006,12.26,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CY,2010,14.99,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CY,2014,16.09,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CY,2018,15.61,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CY,2022,17.44,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CZ,2006,10.9,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CZ,2010,12.94,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CZ,2014,13.71,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CZ,2018,11.43,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,CZ,2022,10.52,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DE,2006,14.71,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DE,2010,17.03,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DE,2014,16.92,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DE,2018,15.81,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DE,2022,15.39,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DK,2006,5.85,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DK,2010,5.82,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DK,2014,6.55,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DK,2018,6.98,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,DK,2022,7.52,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,EA17,2006,10.17,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,EA17,2010,11.12,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,EA17,2014,11.79,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,EA17,2018,11.58,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,M,GE10,EA18,2018,11.63,,
